
,Lat,Long,Type and Amount,,Distance (Miles),,Deadzone or Not,Average Distance,
The Mariner North,47.468,-87.8886,4 level 2,1 dc fast,"(Direct, not using roads)",,,27.6422768,Miles
Keweenah Mountain Lodge,47.46,-87.916,1 level 2,,1.394219796,(B2 to B3),Non-DZ,,
Keweenah Coffee Works,47.2477,-88.45259,1 level 2,,29.08827655,(B3 to B4),Non-DZ,,
Public Parking,47.120384,-88.5456896,,1 dc fast,9.823783353,etc.,Non-DZ,,
Dial Help,47.1216568,-88.5663015,,1 dc fast,0.9731043758,,Non-DZ,,
Parking,47.1216568,-88.5663015,4 level 2,,0,,Non-DZ,,
Adventure Mining Company,47.1216568,-88.5663015,4 level 2,,0,,Non-DZ,,
L'Anse Waterfront Park,46.7576234,-88.4549506,2 level 2,,25.69652846,,Non-DZ,,
Big Valley Ford,46.5347355,-89.2772185,1 level 2,,41.93497119,,Non-DZ,,
Big Powderhorn Mountain Resort,46.484828,-90.083714,2 level 2,,38.50751025,,Non-DZ,,
Downtown Square,46.4527731,-90.1693976,2 level 2,,4.640473157,,Non-DZ,,
Active Backwoods Retreat,46.420544,-90.151882,1 level 2,,2.378024764,,Non-DZ,,
Stateline Chevrolet Buick GMC,46.0919432,-88.6555184,1 level 2,,75.00854794,,Deadzone,,
Crystal Fresh Market & Ace Hardware,46.0971659,-88.3546686,,1 dc fast,14.42036466,,Non-DZ,,
Edwards Automotive,45.8352905,-88.0570515,,1 dc fast,23.05964396,,Non-DZ,,
NORWAY MI DC FAST EV 1,45.7865313,-87.907543,,1 dc fast,7.949986069,,Non-DZ,,
Quality Inn & Suites - Tesla Destination,47.1214022,-88.5589532,3 level 2,,97.30853514,,Deadzone,,
Meijer - Tesla Supercharger,45.7517904,-87.0866318,,8 dc fast charge,117.7729939,,Deadzone,,
Meijer - Tesla Supercharger,46.5531675,-87.4719771,,8 dc fast charge,58.36433998,,Non-DZ,,
Riverside Toyota in Marquette,46.5095416,-87.6061369,1 level 2,,7.053984201,,Non-DZ,,
Northern Michigan University - Northern Center,46.556695,-87.39642,1 level 2,,10.48775926,,Non-DZ,,
HOTplate Clayworks,46.5435653,-87.3941125,2 level 2,,0.9138330396,,Non-DZ,,
MARQUETTE BLP STATION 1,46.545577,-87.380151,2 level 2 ,,0.6779191663,,Non-DZ,,
UP Motor Lodge,46.5375732,-87.3954681,2 level 2 ,,0.9142271866,,Non-DZ,,
Quality Inn and Suites,46.328365,-85.504426,2 level 2,,91.20618196,,Deadzone,,
Adoba Hotel Naubinway - Tesla Destination,46.109525,-85.34592,1 level 2,,16.91389907,,Non-DZ,,
SHARED EV CHARG SMITHERS EV,46.358866,-84.802221,,1 dc fast,31.17886864,,Non-DZ,,
Meijer Sault Ste Marie,46.464465,-84.386572,,8 dc fast,21.10340584,,Non-DZ,,
Quality inn,45.855856,-84.733492,1 level 2,,45.21236847,,Non-DZ,,

BELOW IS FOR EASILY COPYING OVER TO THE LEAFLET ARRAY.
{	name: 	"	The Mariner North	", 	lat: 	47.468	, lng: 	-87.8886	, type: "	4 level 2, 	1 dc fast	", deadzone	: false	},
{	name: 	"	Keweenah Mountain Lodge	", 	lat: 	47.46	, lng: 	-87.916	, type: "	1 level 2		", deadzone: 	: false	},
{	name: 	"	Keweenah Coffee Works	", 	lat: 	47.2477	, lng: 	-88.45259	, type: "	1 level 2		", deadzone: 	: false	},
{	name: 	"	Public Parking	", 	lat: 	47.120384	, lng: 	-88.5456896	, type: "		1 dc fast	", deadzone: 	: false	},
{	name: 	"	Dial Help	", 	lat: 	47.1216568	, lng: 	-88.5663015	, type: "		1 dc fast	", deadzone: 	: false	},
{	name: 	"	Parking	", 	lat: 	47.1216568	, lng: 	-88.5663015	, type: "	4 level 2		", deadzone: 	: false	},
{	name: 	"	Adventure Mining Company	", 	lat: 	47.1216568	, lng: 	-88.5663015	, type: "	4 level 2		", deadzone: 	: false	},
{	name: 	"	L'Anse Waterfront Park	", 	lat: 	46.7576234	, lng: 	-88.4549506	, type: "	2 level 2		", deadzone: 	: false	},
{	name: 	"	Big Valley Ford	", 	lat: 	46.5347355	, lng: 	-89.2772185	, type: "	1 level 2		", deadzone: 	: false	},
{	name: 	"	Big Powderhorn Mountain Resort	", 	lat: 	46.484828	, lng: 	-90.083714	, type: "	2 level 2		", deadzone: 	: false	},
{	name: 	"	Downtown Square	", 	lat: 	46.4527731	, lng: 	-90.1693976	, type: "	2 level 2		", deadzone: 	: false	},
{	name: 	"	Active Backwoods Retreat	", 	lat: 	46.420544	, lng: 	-90.151882	, type: "	1 level 2		", deadzone: 	: true	},
{	name: 	"	Stateline Chevrolet Buick GMC	", 	lat: 	46.0919432	, lng: 	-88.6555184	, type: "	1 level 2		", deadzone: 	: false	},
{	name: 	"	Crystal Fresh Market & Ace Hardware	", 	lat: 	46.0971659	, lng: 	-88.3546686	, type: "		1 dc fast	", deadzone: 	: false	},
{	name: 	"	Edwards Automotive	", 	lat: 	45.8352905	, lng: 	-88.0570515	, type: "		1 dc fast	", deadzone: 	: false	},
{	name: 	"	NORWAY MI DC FAST EV 1	", 	lat: 	45.7865313	, lng: 	-87.907543	, type: "		1 dc fast	", deadzone: 	: true	},
{	name: 	"	Quality Inn & Suites - Tesla Destination	", 	lat: 	47.1214022	, lng: 	-88.5589532	, type: "	3 level 2		", deadzone: 	: true	},
{	name: 	"	Meijer - Tesla Supercharger	", 	lat: 	45.7517904	, lng: 	-87.0866318	, type: "		8 dc fast charge	", deadzone: 	: false	},
{	name: 	"	Meijer - Tesla Supercharger	", 	lat: 	46.5531675	, lng: 	-87.4719771	, type: "		8 dc fast charge	", deadzone: 	: false	},
{	name: 	"	Riverside Toyota in Marquette	", 	lat: 	46.5095416	, lng: 	-87.6061369	, type: "	1 level 2		", deadzone: 	: false	},
{	name: 	"	Northern Michigan University - Northern Center	", 	lat: 	46.556695	, lng: 	-87.39642	, type: "	1 level 2		", deadzone: 	: false	},
{	name: 	"	HOTplate Clayworks	", 	lat: 	46.5435653	, lng: 	-87.3941125	, type: "	2 level 2		", deadzone: 	: false	},
{	name: 	"	MARQUETTE BLP STATION 1	", 	lat: 	46.545577	, lng: 	-87.380151	, type: "	2 level 2 		", deadzone: 	: false	},
{	name: 	"	UP Motor Lodge	", 	lat: 	46.5375732	, lng: 	-87.3954681	, type: "	2 level 2 		", deadzone: 	: true	},
{	name: 	"	Quality Inn and Suites	", 	lat: 	46.328365	, lng: 	-85.504426	, type: "	2 level 2		", deadzone: 	: false	},
{	name: 	"	Adoba Hotel Naubinway - Tesla Destination	", 	lat: 	46.109525	, lng: 	-85.34592	, type: "	1 level 2		", deadzone: 	: false	},
{	name: 	"	SHARED EV CHARG SMITHERS EV	", 	lat: 	46.358866	, lng: 	-84.802221	, type: "		1 dc fast	", deadzone: 	: false	},
{	name: 	"	Meijer Sault Ste Marie	", 	lat: 	46.464465	, lng: 	-84.386572	, type: "		8 dc fast	", deadzone: 	: false	},
{	name: 	"	Quality inn	", 	lat: 	45.855856	, lng: 	-84.733492	, type: "	1 level 2		", deadzone: 	: false	}
